,0
0,0.19034132
1,0.17769007
2,0.2277626
3,0.20068999
4,0.2521179
5,0.2749935
6,0.27241328
7,0.30511612
8,0.2621596
9,0.25495154
10,0.25587216
11,0.24728404
12,0.25851512
13,0.22691485
14,0.23359406
15,0.24631608
16,0.25442457
17,0.21206449
18,0.21781522
19,0.20710903
20,0.22372092
21,0.20718421
22,0.20296168
23,0.19377808
24,0.24848084
25,0.20177914
26,0.17065616
27,0.20996755
28,0.2070311
29,0.18673582
30,0.18146284
31,0.21004814
32,0.17293444
33,0.17848602
34,0.19660385
35,0.1643681
36,0.18219538
37,0.16714144
38,0.16853462
39,0.16511351
40,0.16624321
41,0.15006627
42,0.19910173
43,0.16343838
44,0.1568171
45,0.17979279
46,0.14301838
47,0.173396
48,0.15277453
49,0.17453796
50,0.15509768
51,0.16166274
52,0.15140729
53,0.15245235
54,0.19731043
55,0.13409518
56,0.14383277
57,0.14646801
58,0.18120676
59,0.16337222
60,0.14145738
61,0.14026965
62,0.13250835
63,0.21124667
64,0.15583694
65,0.18208005
66,0.1673434
67,0.17361118
68,0.14460994
69,0.1221305
70,0.16802846
71,0.13622016
72,0.14306055
73,0.1419755
74,0.12913512
75,0.16033262
76,0.20205289
77,0.1540258
78,0.16495633
79,0.15182313
80,0.17618401
81,0.119558424
82,0.1250576
83,0.13606204
84,0.116322555
85,0.15172863
86,0.14911947
87,0.1485385
88,0.124997385
89,0.1302487
90,0.13425806
91,0.14095141
92,0.15805566
93,0.16413483
94,0.12884672
95,0.14160751
96,0.13941567
97,0.12952882
98,0.15268424
99,0.12038104
