,0
0,3.154295
1,3.381841
2,3.193318
3,3.3303611
4,3.1626122
5,3.0635056
6,2.950121
7,2.7966
8,2.8718417
9,2.9711258
10,3.0513904
11,3.1026125
12,3.1149228
13,3.1295254
14,3.1554887
15,3.1515396
16,3.1566336
17,3.1672637
18,3.1466308
19,3.2532122
20,3.2423728
21,3.2330709
22,3.279805
23,3.2976797
24,3.2332573
25,3.2671268
26,3.341291
27,3.3303514
28,3.3429976
29,3.372434
30,3.3915336
31,3.3639984
32,3.402736
33,3.45172
34,3.3982
35,3.4499679
36,3.4872937
37,3.480125
38,3.5286317
39,3.5167012
40,3.5695317
41,3.6305087
42,3.544608
43,3.5728567
44,3.6034222
45,3.6019785
46,3.5882282
47,3.645474
48,3.624347
49,3.6071048
50,3.6542585
51,3.686412
52,3.6702368
53,3.652241
54,3.6177118
55,3.7136378
56,3.7354841
57,3.7328925
58,3.637692
59,3.6600382
60,3.7983627
61,3.7299051
62,3.7806828
63,3.584146
64,3.7154994
65,3.745875
66,3.6330483
67,3.690521
68,3.7275121
69,3.806022
70,3.7233326
71,3.912237
72,3.7876532
73,3.7732694
74,3.8319662
75,3.742869
76,3.7253304
77,3.7459316
78,3.7996988
79,3.7725482
80,3.7104666
81,3.8509371
82,3.8553464
83,3.8844714
84,3.9025538
85,3.8571703
86,3.8194044
87,3.775434
88,3.9000223
89,3.9065337
90,3.9510336
91,3.8647316
92,3.879142
93,3.8566422
94,3.8954222
95,3.9055886
96,3.9312947
97,4.0014663
98,3.871607
99,3.9653766
