layers,neurons,eta,0,1,2,3,4
L=1,$l_i$=1,$eta=0.90$,"Matrix([[0.227833163329356, 1.54492063481381], [1.02745283129691, 1.36382244940658]])","Matrix([[2.79655918664893, 2.02421686028275]])",Matrix([[6.64378090117364]]),,
L=1,$l_i$=2,$eta=0.90$,"Matrix([[0.191238824518501, 2.01915398583654], [0.152314239503859, 1.37331059344481]])","Matrix([[2.03308566071838, 1.31615607496958], [1.47753493331341, 1.45671410893875]])","Matrix([[4.33550717792073, 3.61010449603532]])",,
L=1,$l_i$=3,$eta=0.90$,"Matrix([[0.182049883286873, 0.896609102644511], [0.757979719864850, 0.690522745808400]])","Matrix([[0.934732796773256, 0.903536947501741], [1.02821613136362, 1.30418436783580], [1.29338579998760, 1.03688812556135]])","Matrix([[2.33056147219848, 3.65225261687073, 3.05541155609694]])",,
L=1,$l_i$=4,$eta=0.90$,"Matrix([[0.187260881975469, 1.56364118825423], [0.897865832076928, 1.12464564276779]])","Matrix([[1.15293306127977, 0.747786349653851], [0.691938278241704, 1.09369227892382], [0.860773509963576, 0.826118938120851], [1.01163334603200, 0.559345617266005]])","Matrix([[2.45332533548925, 2.38849225570800, 2.65463554246405, 2.34606896698152]])",,
L=1,$l_i$=5,$eta=0.90$,"Matrix([[1.01656729616304, 1.18545479699823], [0.464534557865469, 0.800144022456020]])","Matrix([[0.727295295836921, 0.671674655724986], [0.488833375811714, 0.813559137929618], [0.752864110280062, 0.497371292671028], [0.781991979872790, 0.740161718086159], [0.746026175131474, 0.710959076855086]])","Matrix([[1.62426121299167, 2.16731090538285, 2.08952616483412, 2.73907188719525, 1.89304609756703]])",,
L=1,$l_i$=1,$eta=0.50$,"Matrix([[0.304000738601097, 1.88344185821478], [0.436467810881637, 0.971086786400144]])","Matrix([[2.63389040485807, 1.95131332701255]])",Matrix([[6.25573879080669]]),,
L=1,$l_i$=2,$eta=0.50$,"Matrix([[0.683973369407182, 1.56214774862326], [0.357087294210269, 0.843895186741631]])","Matrix([[1.51363012771293, 1.91595140539452], [1.03109697048690, 0.951621238200710]])","Matrix([[4.46705367192934, 2.99480410020951]])",,
L=1,$l_i$=3,$eta=0.50$,"Matrix([[1.00494718731462, 0.927267267686573], [0.534879720731691, 1.33656174011673]])","Matrix([[0.575649039366609, 1.13404423738170], [1.26089905238769, 1.12504250494487], [1.21342322188127, 1.31873713227569]])","Matrix([[2.45513545640350, 2.77574397902204, 3.06994010326097]])",,
L=1,$l_i$=4,$eta=0.50$,"Matrix([[0.531197865478886, 0.778259815462848], [0.747593469419673, 1.41590340111751]])","Matrix([[0.694384877712558, 0.580156835480589], [0.774939406110059, 0.875598739097385], [1.06091682781266, 0.752758834954274], [1.02150701680142, 0.994470474838515]])","Matrix([[1.98732571953558, 2.44655368011828, 2.43702214366906, 2.23752278215942]])",,
L=1,$l_i$=5,$eta=0.50$,"Matrix([[0.253562251912946, 0.679560388881408], [0.227696166977893, 0.834072904393719]])","Matrix([[0.518772161924050, 0.379621094990232], [0.333043117481108, 0.445918293016340], [0.602444879926291, 0.881561636775187], [1.04064129321183, 0.819887216660898], [0.351973762227760, 0.512257241682616]])","Matrix([[1.43175206193149, 1.61147886573431, 2.48198837600248, 2.71899088266180, 1.52882067286701]])",,
