finalWorth,age,cpi_change_country,gdp_country,total_tax_rate_country,population_country,selfMade
211000,74,1.1,2.71552E+12,60.7,67059887,FALSE
180000,51,7.5,2.14277E+13,36.6,328239523,TRUE
114000,59,7.5,2.14277E+13,36.6,328239523,TRUE
107000,78,7.5,2.14277E+13,36.6,328239523,TRUE
106000,92,7.5,2.14277E+13,36.6,328239523,TRUE
104000,67,7.5,2.14277E+13,36.6,328239523,TRUE
94500,81,7.5,2.14277E+13,36.6,328239523,TRUE
93000,83,3.6,1.25829E+12,55.1,126014024,TRUE
83400,65,7.7,2.611E+12,49.7,1366417754,FALSE
80700,67,7.5,2.14277E+13,36.6,328239523,TRUE
80500,69,1.1,2.71552E+12,60.7,67059887,FALSE
79200,50,7.5,2.14277E+13,36.6,328239523,TRUE
77300,87,0.7,1.39412E+12,47,47076781,TRUE
76000,49,7.5,2.14277E+13,36.6,328239523,TRUE
68000,68,2.9,1.991E+13,59.2,1397715000,TRUE
64400,38,7.5,2.14277E+13,36.6,328239523,TRUE
59000,87,7.5,2.14277E+13,36.6,328239523,FALSE
59000,60,7.5,2.14277E+13,36.6,328239523,FALSE
58800,74,7.5,2.14277E+13,36.6,328239523,FALSE
57600,78,7.5,2.14277E+13,36.6,328239523,FALSE
56700,73,7.5,2.14277E+13,36.6,328239523,FALSE
54400,65,1.9,1.73643E+12,24.5,36991981,FALSE
50100,58,7.5,2.14277E+13,36.6,328239523,TRUE
47200,60,7.7,2.611E+12,49.7,1366417754,TRUE
45100,85,7.5,2.14277E+13,36.6,328239523,TRUE
45000,39,2.9,1.991E+13,59.2,1397715000,TRUE
42900,83,1.4,3.84563E+12,48.8,83132799,FALSE
40100,86,1.1,2.71552E+12,60.7,67059887,TRUE
39100,85,0.4,7.03082E+11,28.8,8574832,FALSE
38900,58,1.4,5.29607E+11,55.4,11484055,FALSE
38300,83,7.5,2.14277E+13,36.6,328239523,FALSE
38300,87,7.5,2.14277E+13,36.6,328239523,FALSE
38000,94,,,,,TRUE
35300,51,2.9,1.991E+13,59.2,1397715000,TRUE
35000,77,7.5,2.14277E+13,36.6,328239523,FALSE
35000,54,7.5,2.14277E+13,36.6,328239523,TRUE
34700,30,1.5,4.46315E+11,51.4,8877067,FALSE
33400,54,2.9,1.991E+13,59.2,1397715000,TRUE
32600,74,0.5,5.08177E+12,46.7,126226568,TRUE
32100,65,1.7,2.82711E+12,30.6,66834405,TRUE
31600,74,7.5,2.14277E+13,36.6,328239523,FALSE
31600,72,7.5,2.14277E+13,36.6,328239523,FALSE
31200,82,0.4,7.03082E+11,28.8,8574832,TRUE
31200,78,0.4,7.03082E+11,28.8,8574832,TRUE
30200,43,2.9,1.991E+13,59.2,1397715000,TRUE
29700,87,1.4,3.84563E+12,48.8,83132799,TRUE
29500,95,,,,,TRUE
28500,64,7.5,2.14277E+13,36.6,328239523,TRUE
28100,84,7.5,2.14277E+13,36.6,328239523,TRUE
27800,76,7.5,2.14277E+13,36.6,328239523,TRUE
27400,60,1.4,3.84563E+12,48.8,83132799,FALSE
27000,69,1.6,1.39268E+12,47.4,25766605,FALSE
26700,51,2.9,1.991E+13,59.2,1397715000,TRUE
26600,69,3.6,1.25829E+12,55.1,126014024,FALSE
25600,77,7.7,2.611E+12,49.7,1366417754,TRUE
25500,74,3,1.11919E+12,30.1,270203917,TRUE
25300,78,7.5,2.14277E+13,36.6,328239523,TRUE
25200,51,-1.9,4.21142E+11,15.9,9770529,TRUE
24600,56,1.4,3.84563E+12,48.8,83132799,FALSE
24400,52,7.5,2.14277E+13,36.6,328239523,FALSE
24200,82,3,1.11919E+12,30.1,270203917,FALSE
23700,62,4.5,1.69988E+12,46.2,144373535,TRUE
23500,58,2.9,1.991E+13,59.2,1397715000,TRUE
23400,80,2.9,1.991E+13,59.2,1397715000,TRUE
23100,80,2.6,2.82318E+11,34,18952038,FALSE
23100,83,3,1.11919E+12,30.1,270203917,FALSE
22900,70,1.7,2.82711E+12,30.6,66834405,TRUE
22600,81,7.7,2.611E+12,49.7,1366417754,FALSE
22400,65,0.5,5.08177E+12,46.7,126226568,TRUE
22100,66,4.5,1.69988E+12,46.2,144373535,TRUE
22000,52,1.1,2.71552E+12,60.7,67059887,FALSE
21600,61,7.5,2.14277E+13,36.6,328239523,FALSE
21600,67,4.5,1.69988E+12,46.2,144373535,TRUE
21200,36,7.5,2.14277E+13,36.6,328239523,FALSE
21200,52,2.9,1.991E+13,59.2,1397715000,TRUE
21100,60,7.5,2.14277E+13,36.6,328239523,TRUE
21000,90,7.5,2.14277E+13,36.6,328239523,FALSE
21000,77,0.5,5.08177E+12,46.7,126226568,TRUE
20900,57,4.5,1.69988E+12,46.2,144373535,TRUE
20500,72,4.5,1.69988E+12,46.2,144373535,TRUE
20200,84,7.5,2.14277E+13,36.6,328239523,TRUE
19600,61,1.6,1.39268E+12,47.4,25766605,TRUE
19100,73,7.5,2.14277E+13,36.6,328239523,TRUE
19000,59,2.9,1.991E+13,59.2,1397715000,TRUE
19000,55,2.9,1.991E+13,59.2,1397715000,TRUE
18900,72,,7184844193,,38964,FALSE
18900,57,2.9,1.991E+13,59.2,1397715000,TRUE
18700,57,2.9,1.991E+13,59.2,1397715000,TRUE
18500,77,7.5,2.14277E+13,36.6,328239523,TRUE
18500,65,7.5,2.14277E+13,36.6,328239523,TRUE
18500,70,4.5,1.69988E+12,46.2,144373535,TRUE
18000,61,7.5,2.14277E+13,36.6,328239523,TRUE
17700,72,1.7,2.82711E+12,30.6,66834405,FALSE
17500,66,7.5,2.14277E+13,36.6,328239523,TRUE
17500,87,7.5,2.14277E+13,36.6,328239523,TRUE
17500,73,7.7,2.611E+12,49.7,1366417754,FALSE
17400,90,7.5,2.14277E+13,36.6,328239523,TRUE
17400,83,7.5,2.14277E+13,36.6,328239523,TRUE
17100,92,7.5,2.14277E+13,36.6,328239523,FALSE
16700,70,0.4,7.03082E+11,28.8,8574832,FALSE
16500,72,1.4,3.84563E+12,48.8,83132799,FALSE
16500,55,2.8,2.46489E+11,46.1,10669709,FALSE
16300,72,2.9,1.991E+13,59.2,1397715000,TRUE
16200,75,1.8,5.30833E+11,49.1,10285453,FALSE
16200,67,7.5,2.14277E+13,36.6,328239523,TRUE
16000,55,0.4,7.03082E+11,28.8,8574832,TRUE
15900,67,2.9,1.991E+13,59.2,1397715000,TRUE
